"Type","Code","Name","LEI code","Address"
"AIFM AUT","A00002228","LANGHAM HALL MANAGEMENT S.A.R.L","2138002S8ME26QOLAW55","42-44, avenue de la Gare L-1610 Luxembourg"
"AIFM AUT","A00002271","ALTUM MANAGEMENT COMPANY (LUXEMBOURG) S.A.","549300XDFLBPT8RCWZ85","19-21, route d'Arlon L-8009 Strassen"
"AIFM AUT","A00002273","RSM FUND MANAGEMENT LUXEMBOURG","8945002HAUTIAGX30636","42, rue de la Vallée L-2661 Luxembourg"
"AIFM AUT","A00002302","PRAEMIA REIM LUXEMBOURG","549300MZUMXWZSGQ3K63","43-45, allée Scheffer L-2520 Luxembourg"
"AIFM AUT","A00002344","JUPITER ASSET MANAGEMENT INTERNATIONAL","5493000VQNIJTHTKB410","5, Heienhaff L-1736 Senningerberg"
"AIFM AUT","A00002372","EMPIRA INVESTMENT SOLUTIONS S.A.","529900CFNAJ2JGCIKW62","19, rue de Flaxweiler L-6776 Grevenmacher"
"AIFM AUT","A00002345","ARES MANAGEMENT LUXEMBOURG","549300VCH46A19IQ4N17","14, avenue Pasteur L-2310 Luxembourg"
"AIFM AUT","A00002374","APOLLO INVESTMENT MANAGEMENT EUROPE (LUXEMBOURG) S.À R.L.","549300ZWGCK3JZUGI340","2, avenue Charles de Gaulle L-1653 Luxembourg"
"AIFM AUT","A00002174","EURAZEO FUNDS MANAGEMENT LUXEMBOURG","894500GJ8XZA5NODIU30","25C, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00002389","PARTNERS GROUP (LUXEMBOURG) S.A.","549300X0Z311NBYZIN43","35D, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM AUT","A00002390","ADVENT INTERNATIONAL FUND MANAGER S.À R.L.","2221009T535TQ45CTV66","2-4, rue Beck L-1222 Luxembourg"
"AIFM AUT","A00002392","SHELTER INVESTMENT MANAGEMENT","2549001BCB5FL6LTDB74","22, rue de l'Industrie L-8399 Windhof"
"AIFM AUT","A00002404","BLUEBAY FUNDS MANAGEMENT COMPANY S.A.","549300X61WD46V1WII05","4, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00002451","HSBC INVESTMENT FUNDS (LUXEMBOURG) S.A.","213800KNC1J1NJ1IYR95","18, boulevard de Kockelscheuer L-1821 Luxembourg"
"AIFM AUT","A00002461","MINDFUL CAPITAL PARTNERS S.A.","222100ES4J9PE3NLIC85","10, rue Antoine Jans L-1820 Luxembourg"
"AIFM AUT","A00002466","NEUBERGER BERMAN AIFM S.À R.L.","5493008179E0E847KS54","31-33, rue Saint-Zithe L-2763 Luxembourg"
"AIFM AUT","A00002483","SAVILLS INVESTMENT MANAGEMENT (LUXEMBOURG) S.A R.L.","529900CU8H48MDZXR171","10, rue C.M. Spoo L-2546 Luxembourg"
"AIFM AUT","A00002485","ACTIVE OWNERSHIP CORPORATION S.ÀR.L.","529900C66GVZ2P3Q3U24","19, rue de Flaxweiler L-6776 Grevenmacher"
"AIFM AUT","A00002495","BAIN CAPITAL INVESTMENTS (LUXEMBOURG) S.À R.L.","254900OHBPR2UJKZQA35","13, rue Edward Steichen L-2540 Luxembourg"
"AIFM AUT","A00002501","INNPACT FUND MANAGEMENT S.A.","222100HUXHPVXN2J7G24","5, rue Jean Bertels L-1230 Luxembourg "
"AIFM AUT","A00002570","SWISSCANTO ASSET MANAGEMENT INTERNATIONAL S.A.","5493007MXNV1316JL462","6, route de Trèves L-2633 Luxembourg"
"AIFM AUT","A00002604","OPTIMUM ASSET MANAGEMENT S.A.","222100574S4D6G4H2S43","4, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00002611","NORVESTOR INVESTMENT MANAGEMENT S.À R.L.","984500E3944EB10FBE07","35, avenue Monterey L-2163 Luxembourg"
"AIFM AUT","A00002627","ONE FUND MANAGEMENT S.A.","98450042A81B6857D713","4, rue Peternelchen L-2370 Howald"
"AIFM AUT","A00002735","R+V AIFM S.À R.L.","529900YTOB8YQRSHXL11","6B, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM AUT","A00002640","MPE MANAGER LUX S.À R.L.","2138009UTES5SZ6BTJ48","5, Heienhaff L-1736 Senningerberg"
"AIFM AUT","A00002656","TRITON INVESTMENTS MANAGEMENT SARL","5493003MFY2YTMV62H21","2, rue Edward Steichen L-2540 Luxembourg"
"AIFM AUT","A00002673","PARK SQUARE CAPITAL LUXEMBOURG MANAGEMENT SERVICES S.À R.L.","549300XI65O7SCOL6B89","5, rue du Curé L-1368 Luxembourg"
"AIFM AUT","A00002708","JANUS HENDERSON INVESTORS EUROPE S.A.","213800QSJA8LL34M8L90","78, avenue de la Liberté L-1930 Luxembourg"
"AIFM AUT","A00002740","LHI MANAGEMENT LUXEMBURG S.A.","222100158848DASUV641","39, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00002756","RIVERSIDE EUROPE PARTNERS S.À R.L.","222100WOR55MYBDLF668","13-15, avenue de la Liberté L-1931 Luxembourg"
"AIFM AUT","A00002782","IRE AIFM HUB","549300ZOVBKBDUS65C53","28, boulevard d'Avranches L-1160 Luxembourg"
"AIFM AUT","A00002783","EASTSPRING INVESTMENTS (LUXEMBOURG) S.A.","213800Z86L7S11SJUK24","26, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00002799","HPS INVESTMENT PARTNERS LUX SÀRL","549300V5SQYP5A8F0612","291, route d'Arlon L-1150 Luxembourg"
"AIFM AUT","A00002897","AMANCO S.A.","894500ITMO2KM65LL726","9, rue de Bitbourg L-1273 Luxembourg"
"AIFM AUT","A00002904","BLI - BANQUE DE LUXEMBOURG INVESTMENTS","2221001T21S5REVBLB93","16, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00002956","INTREAL LUXEMBOURG S.A.","391200W4JURHRCV6HK43","6B, rue du Fort Niedergrünewald L-2226 Luxembourg"
"AIFM AUT","A00002989","KLARPHOS","549300KTI558077FKB13","7, rue Lou Hemmer L-1748 Senningerberg"
"AIFM AUT","A00002998","WENDEL LUXEMBOURG S.A.","54930061O8B2SL0TTR84","11-13-15, avenue Emile Reuter L-2420 Luxembourg"
"AIFM AUT","A00002800","GIMPEL PRIVATE MARKETS S.A.","529900L7BLMSAJI6IF63","2, rue Edward Steichen L-2540 Luxembourg"
"AIFM AUT","A00003051","PERMIRA MANAGEMENT S.À R.L.","222100AZWZKBBGN7TM95","488, route de Longwy L-1940 Luxembourg"
"AIFM AUT","A00003090","PRAESIDIUM S.A.","2221009UB4LF2LUS3F96","11, rue Aldringen L-1118 Luxembourg"
"AIFM AUT","A00003201","RENTA 4 LUXEMBOURG","984500C5A4959FAQ3941","70, Grand-rue L-1660 Luxembourg"
